student_id,age,attendance_rate,previous_scores,final_grade,study_hours_week_log,sleep_hours_sqrt,gender_Female,gender_M,gender_Male,parental_education_Doctorate,parental_education_High_School,parental_education_Master,extracurricular_Yes,tutoring_Yes,internet_quality_Good,internet_quality_Poor,family_income_Low,family_income_Medium,health_status_Good,health_status_Poor,study_sleep_ratio,engagement
STD01416,0.17982214077376235,1.0438195197980256,-0.8491245494464965,85.39,-0.7675428847368843,-0.3594757701900685,0,1,0,0,0,0,1,0,1,0,0,1,1,0,-0.6247905085289652,-0.13686427307820037
STD01345,-1.1272458737350404,-0.06765325958490796,-0.7538812316188684,98.43,0.6580103529990846,0.8998163550282176,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0.22363847488156943,0.4896170773048873
STD01705,1.486890155282565,0.025573720978432104,1.5568515361309645,100.0,0.24009001386850856,-0.2698337187003697,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0.2872379841007479,0.2099028426733131
STD00299,-0.2558671973958386,0.9174451683677202,-0.6846133641078663,86.85,-1.3400555761032196,0.042116067158209036,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-1.2642175847513721,-0.7297648333413742
STD01762,-1.1272458737350404,-0.935700034163565,-0.35234406214102854,83.25,-1.2149017091351322,0.8558371039296756,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-1.3423326992048341,-1.3676095562518678
STD00396,0.17982214077376235,-0.5917960614187988,-0.21164370625930598,98.4,0.8745505787768223,-0.1728902329838897,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0.8358476334328517,0.30573524140136377
STD02045,-0.2558671973958386,0.19856156269040803,-0.8415483764374806,82.39,-1.869146239773855,0.047294569107206565,0,0,0,0,0,0,0,0,1,0,0,1,1,0,-1.7447877699895615,-1.4539993264511815
STD00258,-1.1272458737350404,1.3887593478823843,0.5719490449589045,93.03,0.20715773076052102,-1.6117370485530738,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.8553348469377664,0.9935829402780296
STD01805,1.486890155282565,-0.9367358895031574,-1.1987108182910844,91.03,0.815546122502197,0.12069144940783968,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0.656834160188217,0.02968624853294185
STD01844,-1.5629352119046414,0.5093181645682088,-3.8536183027362085,77.99,-0.33896947605293826,-0.4169167191818304,0,1,0,0,1,0,1,0,0,1,0,1,1,0,-0.20158732135168106,-0.009327923448337968
STD00664,1.051200817112964,0.9267678664240545,0.48319958971043314,98.42,0.16175642239651747,0.0814735169171026,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0.08261912545139921,0.676488587067592
STD02081,1.486890155282565,0.4368082907967216,1.9854464663552889,100.0,0.5834842794088718,0.00261760045904704,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.495020717459757,0.7547405746272334
STD00794,1.051200817112964,-1.159444787515581,-1.3870328330866213,97.51,0.7926258584684059,0.20648702238930983,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0.6012141174492116,-0.13569262581683855
STD01625,1.051200817112964,-0.7005608720760288,0.8522674462924904,100.0,0.5902607684907119,0.8705149863794446,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.1767740116793544,0.026953146209301466
STD00882,1.486890155282565,-3.067490323045278,-0.9811664218893439,78.8,-0.10298298687531973,0.8631783186809974,0,1,0,0,0,0,1,0,0,1,1,0,0,0,-0.40566538848515493,-1.782436231301027
STD01715,0.17982214077376235,-0.9978513545391245,-0.6694610180898346,73.48,-2.8768474603434373,-0.10874141869724517,0,1,0,0,0,0,1,0,1,0,1,0,1,0,-2.639223216094262,-2.523580652981079
STD00660,-1.5629352119046414,-0.9937079331807539,-0.5244314204886745,87.97,0.16175642239651747,0.3837851637303898,0,1,0,0,0,0,1,0,1,0,0,1,1,0,-0.0241203841221747,-0.4539025512372529
